user_id,order_id,order_date,order_amount,category
U00001,ORD_U00001_000,2023-07-29,75.97,数码
U00001,ORD_U00001_001,2023-10-23,102.43,食品
U00001,ORD_U00001_002,2024-03-09,118.96,家居
U00002,ORD_U00002_000,2024-03-30,406.14,服饰
U00002,ORD_U00002_001,2024-04-25,513.34,家居
U00002,ORD_U00002_002,2024-05-20,678.02,美妆
U00002,ORD_U00002_003,2024-06-25,231.49,食品
U00002,ORD_U00002_008,2024-07-30,540.34,服饰
U00002,ORD_U00002_006,2024-08-20,487.85,家居
U00002,ORD_U00002_004,2024-09-15,625.75,美妆
U00002,ORD_U00002_005,2024-09-22,632.08,数码
U00002,ORD_U00002_007,2024-12-03,362.09,食品
U00003,ORD_U00003_000,2023-09-13,434.11,数码
U00003,ORD_U00003_001,2023-09-23,497.57,食品
U00003,ORD_U00003_004,2023-12-14,420.24,美妆
U00003,ORD_U00003_002,2023-12-31,573.03,服饰
U00003,ORD_U00003_003,2024-01-18,274.18,家居
U00003,ORD_U00003_007,2024-04-23,573.53,服饰
U00003,ORD_U00003_005,2024-06-25,435.4,服饰
U00003,ORD_U00003_006,2024-08-23,399.88,服饰
U00004,ORD_U00004_000,2023-08-21,222.09,食品
U00004,ORD_U00004_001,2023-10-10,464.26,家居
U00004,ORD_U00004_002,2023-11-17,260.21,美妆
U00004,ORD_U00004_004,2023-12-09,260.77,美妆
U00004,ORD_U00004_003,2024-01-20,212.44,服饰
U00004,ORD_U00004_009,2024-04-07,435.13,服饰
U00004,ORD_U00004_005,2024-06-05,421.44,家居
U00004,ORD_U00004_007,2024-06-24,165.28,数码
U00004,ORD_U00004_006,2024-07-06,509.21,家居
U00004,ORD_U00004_008,2024-08-16,277.3,数码
U00005,ORD_U00005_000,2024-07-18,124.13,家居
U00005,ORD_U00005_001,2024-09-11,132.42,服饰
U00005,ORD_U00005_002,2024-10-19,281.64,美妆
U00005,ORD_U00005_003,2025-01-31,88.58,数码
U00006,ORD_U00006_000,2023-11-12,178.81,数码
U00006,ORD_U00006_001,2023-12-16,260.83,家居
U00006,ORD_U00006_002,2024-03-30,174.27,家居
U00006,ORD_U00006_003,2024-04-06,181.9,家居
U00007,ORD_U00007_000,2024-12-28,48.66,数码
U00008,ORD_U00008_000,2023-06-10,41.5,数码
U00008,ORD_U00008_001,2023-09-13,77.36,美妆
U00008,ORD_U00008_002,2023-10-10,89.44,美妆
U00009,ORD_U00009_000,2024-12-21,77.46,家居
U00009,ORD_U00009_001,2025-01-17,112.68,数码
U00010,ORD_U00010_000,2025-01-02,33.68,数码
